===============================================================================================================
                                    LISTAGEM DE ESTACIONAMENTOS                                              
===============================================================================================================

Nº    | Matrícula | Lugar | Entrada          | Saída           | Valor   
-------+------------+-------+------------------+------------------+----------
1      | 26-VV-65   | 3V15  | 03/01/2025 12:17 | 03/01/2025 16:46 | 2.69 €
2      | 47-IE-85   | 2X17  | 09/09/2025 12:01 | 09/09/2025 12:13 | 0.12 €
3      | 78-IY-28   | 1J26  | 01/10/2025 18:42 | 01/10/2025 22:55 | 2.26 €
4      | 30-ZC-69   | 3I1   | 15/12/2025 16:34 | 15/12/2025 21:49 | 3.15 €
5      | 26-MI-22   | 3A8   | 23/05/2025 18:34 | 23/05/2025 19:49 | 0.75 €
6      | 41-IC-89   | 2E1   | 09/10/2025 09:12 | 09/10/2025 09:18 | 0.06 €
7      | 78-LN-49   | 3P23  | 01/04/2025 21:42 | 02/04/2025 02:06 | 10.41 €
8      | 71-HA-44   | 2G36  | 02/07/2025 14:13 | 02/07/2025 18:19 | 2.46 €
9      | 89-UT-22   | 3E28  | 08/12/2025 17:18 | 08/12/2025 18:18 | 0.60 €
10     | 80-XI-19   | 2G13  | 27/09/2025 16:47 | 27/09/2025 16:58 | 0.11 €
11     | 80-GX-39   | 3A36  | 14/08/2025 19:55 | 14/08/2025 20:08 | 0.13 €
12     | 34-PL-93   | 3L33  | 09/12/2025 11:21 | 09/12/2025 16:31 | 3.10 €
13     | 63-PH-24   | 1D35  | 02/12/2025 16:05 | 02/12/2025 17:22 | 0.77 €
14     | 52-EJ-63   | 2Q34  | 26/01/2025 13:55 | 26/01/2025 16:13 | 1.38 €
15     | 49-ZC-12   | 3N18  | 28/02/2025 18:59 | 28/02/2025 20:09 | 0.70 €
16     | 12-KA-72   | 1C20  | 23/06/2025 21:33 | 24/06/2025 01:52 | 10.43 €
17     | 52-DM-60   | 2Z1   | 02/10/2025 14:02 | 02/10/2025 15:15 | 0.73 €
18     | 61-YS-69   | 2D18  | 26/08/2025 18:58 | 26/08/2025 20:11 | 0.73 €
19     | 59-OY-82   | 2O14  | 12/12/2025 20:06 | 13/12/2025 00:26 | 10.87 €
20     | 63-WF-22   | 1X28  | 15/10/2025 13:14 | 15/10/2025 14:14 | 0.60 €
21     | 96-TI-87   | 1A40  | 20/09/2025 20:17 | 20/09/2025 20:37 | 0.20 €
22     | 24-JP-29   | 1G3   | 18/03/2025 09:06 | 18/03/2025 12:11 | 1.85 €
23     | 71-YJ-11   | 3T27  | 16/03/2025 10:47 | 16/03/2025 11:48 | 0.61 €
24     | 77-UK-89   | 2K17  | 14/02/2025 09:55 | 14/02/2025 11:04 | 0.69 €
25     | 83-MK-69   | 2R11  | 23/11/2025 23:34 | 24/11/2025 00:51 | 9.39 €
26     | 55-TV-34   | 2F36  | 29/05/2025 11:10 | 29/05/2025 15:32 | 2.62 €
27     | 90-GK-42   | 3I5   | 13/08/2025 14:32 | 13/08/2025 19:43 | 3.11 €
28     | 18-GF-31   | 3L40  | 03/05/2025 22:46 | 04/05/2025 02:16 | 10.05 €
29     | 49-ZO-15   | 2J39  | 22/03/2025 14:00 | 22/03/2025 14:07 | 0.07 €
30     | 80-DQ-81   | 2G23  | 07/09/2025 17:35 | 07/09/2025 18:44 | 0.69 €
31     | 29-YI-27   | 1I27  | 07/05/2025 22:29 | 08/05/2025 00:47 | 9.69 €
32     | 41-GP-88   | 3L14  | 28/01/2025 09:18 | 28/01/2025 10:19 | 0.61 €
33     | 81-UK-84   | 1U30  | 10/04/2025 10:48 | 10/04/2025 12:58 | 1.30 €
34     | 69-OX-33   | 2R15  | 22/05/2025 20:51 | 23/05/2025 01:07 | 10.63 €
35     | 49-LU-35   | 1M10  | 19/06/2025 14:31 | 19/06/2025 15:59 | 0.88 €
36     | 48-CG-61   | 3T16  | 25/07/2025 16:20 | 25/07/2025 17:26 | 0.66 €
37     | 22-HE-53   | 1X40  | 27/05/2025 16:04 | 27/05/2025 18:25 | 1.41 €
38     | 32-EU-98   | 1G20  | 22/01/2025 22:40 | 23/01/2025 02:01 | 10.01 €
39     | 31-NL-86   | 3F21  | 10/02/2025 09:08 | 10/02/2025 10:35 | 0.87 €
40     | 97-AH-49   | 1M21  | 02/04/2025 09:32 | 02/04/2025 09:57 | 0.25 €
41     | 53-OQ-65   | 2Q33  | 04/06/2025 13:13 | 04/06/2025 18:20 | 3.07 €
42     | 46-LT-13   | 2D9   | 22/02/2025 22:58 | 23/02/2025 00:06 | 9.34 €
43     | 31-VN-56   | 1W3   | 25/09/2025 17:54 | 25/09/2025 22:15 | 2.53 €
44     | 79-YU-78   | 3W8   | 05/04/2025 20:15 | 06/04/2025 01:19 | 11.05 €
